,AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
3576,2014,15106,Briceño,15,Boyaca,3769,Boyaca (ETC),588.0,84.01,95.74,94.87,86.43,78.72,58.82,87.76,76.47,88.05,96.41,74.73,21.4,12.5,5.23,3.775,1.81,10.64,4.41,92.25,100.0,96.83,84.04,95.59,2.52,0.0,1.36,5.32,0.0,0.0,0.0,0.0,0.0,0.0
3577,2014,15109,Buenavista,15,Boyaca,3769,Boyaca (ETC),1350.0,72.74,91.52,95.31,86.18,71.26,57.76,79.48,56.64,74.78,92.94,75.59,26.33,29.63,0.97,1.8375,0.94,1.02,1.36,97.77,100.0,96.49,98.47,98.64,1.26,0.0,2.58,0.51,0.0,3.01,1.56,2.81,4.59,0.0
3578,2014,15131,Caldas,15,Boyaca,3769,Boyaca (ETC),742.0,90.03,92.91,82.14,85.51,77.06,57.43,96.9,93.33,91.88,111.16,82.11,26.71,23.08,1.25,1.79,0.71,1.43,1.98,95.83,98.21,99.29,92.11,95.05,2.92,0.0,0.0,6.45,2.97,0.14,0.0,0.35,0.0,0.0
3579,2014,15135,Campohermoso,15,Boyaca,3769,Boyaca (ETC),983.0,54.02,87.77,80.85,82.87,71.11,42.68,61.55,60.26,61.67,67.16,50.31,15.67,14.29,3.64,4.26,0.8,7.8,1.4625,92.36,93.62,96.8,85.37,97.92,4.0,2.13,2.4,6.83,2.08,0.0,0.0,0.0,0.0,0.0
3582,2014,15176,Chiquinquira,15,Boyaca,3769,Boyaca (ETC),15630.0,85.28,88.81,70.53,88.69,75.81,55.53,95.98,88.01,88.42,103.47,102.07,27.94,21.95,2.04,1.6,1.96,2.36,1.65,92.77,98.28,95.91,89.22,91.11,5.19,0.12,2.14,8.43,7.24,2.09,0.0,0.62,3.73,2.74
3583,2014,15180,Chiscas,15,Boyaca,3769,Boyaca (ETC),1013.0,70.78,93.6,90.7,91.69,79.93,61.61,75.62,52.44,78.92,80.12,69.14,18.83,21.43,2.02,1.84625,1.78,3.01,1.02,89.38,100.0,93.18,81.95,91.84,8.6,0.0,5.04,15.04,7.14,1.21,0.0,0.89,1.5,2.04
3584,2014,15183,Chita,15,Boyaca,3769,Boyaca (ETC),2638.0,82.83,81.8,87.06,85.45,61.93,42.23,101.25,74.56,94.2,111.72,113.68,25.18,11.9,2.05,1.18,0.84,3.3,3.99,92.34,98.24,94.4,89.0,89.49,5.61,0.59,4.76,7.7,6.52,1.07,0.0,1.12,1.38,0.72
3585,2014,15185,Chitaraque,15,Boyaca,3769,Boyaca (ETC),1238.0,91.11,94.47,69.23,85.91,81.57,64.6,96.45,125.0,109.4,89.78,59.16,27.95,6.25,2.42,3.08,1.37,4.03,2.0,92.49,96.92,95.7,86.17,90.0,5.09,0.0,2.92,9.8,8.0,0.09,0.0,0.0,0.29,0.0
3586,2014,15187,Chivata,15,Boyaca,3769,Boyaca (ETC),1471.0,34.06,91.09,70.0,82.73,71.12,44.59,37.39,32.79,39.84,37.85,32.17,22.8,37.5,1.5,2.9842857142857144,0.8,3.21,2.901666666666667,90.43,100.0,93.57,81.82,98.25,8.07,0.0,5.62,14.97,1.75,1.31,0.0,0.8,2.14,1.75
3587,2014,15189,Cienega,15,Boyaca,3769,Boyaca (ETC),1051.0,93.15,83.96,91.3,85.99,67.82,45.45,110.94,81.18,94.52,130.79,126.44,21.22,27.27,0.71,1.385,0.48,1.1,0.75,95.41,100.0,95.41,94.23,96.27,3.87,0.0,4.11,4.67,2.99,0.61,0.0,0.97,0.27,0.75
3588,2014,15204,Combita,15,Boyaca,3769,Boyaca (ETC),2382.0,71.49,72.57,83.45,66.87,57.27,57.65,98.4,77.96,100.31,114.69,72.07,22.05,38.1,2.34,2.33,1.83,3.71,0.47,87.44,97.67,93.15,78.29,86.79,10.21,0.0,5.02,18.0,12.74,1.11,0.78,1.22,1.48,0.0
3589,2014,15212,Coper,15,Boyaca,3769,Boyaca (ETC),844.0,74.53,87.85,70.45,74.93,75.21,33.98,84.83,61.97,93.84,82.69,77.44,18.57,42.31,0.6,2.3666666666666667,0.9,0.44,2.8722222222222222,94.05,97.73,94.33,91.67,98.46,5.36,2.27,4.78,7.89,1.54,2.08,0.0,1.79,2.63,3.08
3590,2014,15215,Corrales,15,Boyaca,3769,Boyaca (ETC),455.0,97.58,90.06,91.18,90.2,81.44,45.45,108.35,91.89,106.81,108.44,120.55,25.44,33.33,0.64,3.3716666666666666,0.49,0.6,1.49,88.35,100.0,88.24,85.63,89.55,11.02,0.0,11.27,13.77,8.96,0.0,0.0,0.0,0.0,0.0
3593,2014,15224,Cucaita,15,Boyaca,3769,Boyaca (ETC),1191.0,70.53,92.82,72.46,86.16,79.28,66.44,75.99,71.88,71.95,81.82,76.02,23.22,42.86,0.57,2.2271428571428573,0.56,0.65,0.71,95.75,98.55,94.07,96.42,97.14,3.68,1.45,5.37,2.93,2.14,0.8,0.0,0.85,0.98,0.71
3595,2014,15232,Chiquiza,15,Boyaca,3769,Boyaca (ETC),1352.0,68.79,93.19,68.49,88.76,88.79,64.29,73.82,68.22,79.13,70.09,71.19,22.5,12.5,0.93,1.37,0.92,0.93,0.72,95.76,98.63,94.72,95.33,98.55,3.31,0.0,4.36,3.74,0.72,0.1,0.0,0.23,0.0,0.0
3597,2014,15238,Duitama,15,Boyaca,3771,Duitama,24915.0,95.33,89.77,79.17,89.29,75.93,59.53,106.14,95.49,103.38,113.31,102.82,24.78,35.29,1.15,1.36,0.71,1.48,1.36,94.08,98.64,97.69,90.98,91.2,4.77,0.0,1.6,7.55,7.45,4.48,0.68,3.05,7.02,3.35
3598,2014,15244,El Cocuy,15,Boyaca,3769,Boyaca (ETC),1221.0,76.25,91.01,78.87,90.34,81.31,50.91,83.78,67.62,87.92,79.46,90.66,20.7,12.5,0.95,3.08,0.23,0.99,2.0,91.56,96.92,90.95,90.4,93.33,7.49,0.0,8.82,8.61,4.67,0.42,0.0,0.23,0.66,0.67
3599,2014,15248,El Espino,15,Boyaca,3769,Boyaca (ETC),625.0,90.72,81.82,75.0,90.99,72.49,44.58,110.88,83.72,101.37,119.03,121.17,23.88,14.29,1.67,1.745,0.45,2.12,3.85,94.82,100.0,99.55,89.83,94.23,3.51,0.0,0.0,8.05,1.92,1.0,0.0,0.9,1.69,0.0
3603,2014,15296,Gameza,15,Boyaca,3769,Boyaca (ETC),1193.0,78.12,91.91,85.42,87.89,74.85,57.14,85.0,97.96,89.55,84.08,67.74,26.59,25.0,1.76,1.04,1.1,2.88,1.92,94.52,95.83,95.59,92.01,96.15,3.72,3.13,3.3,5.11,1.92,2.38,1.04,1.32,4.79,0.96
3604,2014,15299,Garagoa,15,Boyaca,3769,Boyaca (ETC),3962.0,72.61,90.69,85.54,88.91,77.55,59.0,79.98,78.57,74.57,84.71,84.11,26.82,15.0,2.48,2.79,1.51,3.07,3.1,92.58,97.21,95.97,89.21,91.35,4.93,0.0,2.52,7.72,5.54,0.82,0.0,0.71,1.12,0.67
3606,2014,15322,Guateque,15,Boyaca,3769,Boyaca (ETC),1932.0,102.69,92.71,77.33,91.04,83.05,68.1,110.77,100.0,101.52,126.2,106.75,27.21,21.43,1.92,0.73,0.98,2.85,2.28,94.36,99.27,96.22,92.88,91.53,3.73,0.0,2.8,4.27,6.19,0.41,0.0,0.56,0.39,0.33
3607,2014,15325,Guayata,15,Boyaca,3769,Boyaca (ETC),785.0,72.36,89.03,83.33,90.44,73.16,57.41,81.27,80.0,77.47,85.24,83.08,24.79,37.5,1.31,2.4785714285714286,1.2,1.88,1.03,93.43,100.0,98.8,87.32,89.69,5.25,0.0,0.0,10.8,9.28,0.0,0.0,0.0,0.0,0.0
3609,2014,15362,Iza,15,Boyaca,3769,Boyaca (ETC),420.0,69.52,92.7,66.67,83.65,80.65,51.52,75.0,88.24,88.83,65.96,50.0,21.08,16.67,3.49,3.33,1.89,6.45,3.03,93.02,96.67,94.97,87.1,96.97,3.49,0.0,3.14,6.45,0.0,5.08,3.33,5.03,6.45,3.03
3610,2014,15367,Jenesano,15,Boyaca,3769,Boyaca (ETC),1698.0,76.62,92.93,89.36,88.08,76.94,55.56,82.45,66.2,79.97,93.63,74.16,30.34,5.56,0.61,1.06,0.86,0.21,0.63,90.76,98.94,97.58,81.72,88.75,8.64,0.0,1.55,18.07,10.63,0.23,0.0,0.52,0.0,0.0
3611,2014,15368,Jerico,15,Boyaca,3769,Boyaca (ETC),880.0,78.75,87.39,85.96,83.98,66.79,33.98,90.11,85.07,104.02,89.44,63.58,23.94,10.53,1.42,1.75,0.83,2.62,2.604444444444445,93.73,98.25,93.92,91.27,98.15,4.84,0.0,5.25,6.11,1.85,0.0,0.0,0.0,0.0,0.0
3612,2014,15377,Labranzagrande,15,Boyaca,3769,Boyaca (ETC),976.0,51.64,87.96,57.69,76.92,63.29,48.15,58.71,69.33,68.24,62.16,28.88,22.86,4.55,0.57,1.92,0.38,0.6,4.688571428571429,97.13,98.08,95.38,98.8,100.0,2.3,0.0,4.23,0.6,0.0,0.0,0.0,0.0,0.0,0.0
3613,2014,15401,La Victoria,15,Boyaca,3769,Boyaca (ETC),388.0,57.99,90.0,80.77,78.02,77.36,55.56,64.43,81.25,55.83,81.54,42.86,12.92,10.0,2.14,1.6666666666666667,1.1,3.16,4.55,90.6,100.0,93.41,85.26,90.91,7.26,0.0,5.49,11.58,4.55,0.85,0.0,0.0,2.11,0.0
3615,2014,15407,Villa de Leyva,15,Boyaca,3769,Boyaca (ETC),3427.0,83.92,94.14,84.26,89.4,76.19,63.52,89.09,84.38,93.86,96.08,66.5,24.49,37.5,0.66,2.232222222222222,0.56,1.0,0.29,91.81,100.0,95.21,85.81,94.43,7.53,0.0,4.23,13.19,5.28,0.42,0.0,0.28,0.6,0.59
3616,2014,15425,Macanal,15,Boyaca,3769,Boyaca (ETC),993.0,74.22,91.44,83.61,84.71,75.77,57.6,81.17,75.31,80.34,87.72,73.1,27.21,5.0,3.33,2.71,0.92,7.17,2.02,90.64,100.0,97.25,79.86,94.95,6.03,0.0,1.83,12.97,3.03,2.44,0.0,1.53,4.78,0.0
3617,2014,15442,Maripi,15,Boyaca,3769,Boyaca (ETC),1938.0,68.99,89.25,87.65,83.52,70.51,36.53,77.3,48.5,74.85,89.11,74.74,29.28,32.26,1.64,2.5344444444444445,0.8,2.37,3.33,91.95,100.0,94.24,88.32,91.33,6.41,0.0,4.96,9.31,5.33,2.78,0.0,2.08,4.01,2.67
3618,2014,15455,Miraflores,15,Boyaca,3769,Boyaca (ETC),1975.0,80.96,84.51,86.36,88.97,63.21,51.83,95.8,72.37,84.62,119.47,85.51,22.47,13.04,1.16,1.9088888888888889,0.51,1.79,1.8,95.69,100.0,97.96,91.61,98.2,3.15,0.0,1.53,6.61,0.0,0.96,0.0,1.02,1.07,0.9
3620,2014,15466,Mongui,15,Boyaca,3769,Boyaca (ETC),1156.0,82.53,88.33,79.1,89.11,66.13,50.0,93.43,73.63,84.22,109.05,92.93,26.66,33.33,1.48,1.49,2.28,1.01,0.65,96.04,98.51,97.72,94.94,93.51,2.47,0.0,0.0,4.05,5.84,0.99,0.0,1.77,0.76,0.0
3621,2014,15469,Moniquira,15,Boyaca,3769,Boyaca (ETC),4573.0,92.89,84.64,77.23,83.89,70.22,42.48,109.75,87.37,108.68,110.27,122.12,25.94,21.43,2.84,3.17,2.95,2.89,2.17,90.08,96.83,91.05,86.66,92.42,7.08,0.0,6.0,10.45,5.42,0.63,0.0,0.44,1.1,0.36
3622,2014,15476,Motavita,15,Boyaca,3769,Boyaca (ETC),1761.0,57.98,92.82,82.28,86.18,76.25,52.12,62.46,50.0,58.54,70.42,64.45,22.72,30.0,3.07,1.4725,0.44,6.36,4.11,94.04,100.0,98.46,90.08,87.67,2.89,0.0,1.1,3.56,8.22,1.77,0.0,0.66,2.54,4.11
3623,2014,15480,Muzo,15,Boyaca,3769,Boyaca (ETC),2273.0,79.94,87.4,87.58,84.68,70.84,46.26,91.47,92.53,90.93,98.99,76.76,26.78,16.67,2.35,0.62,1.71,3.02,3.78,91.48,99.38,92.55,88.92,89.92,6.17,0.0,5.74,8.06,6.3,1.1,0.0,1.47,1.29,0.0
3624,2014,15491,Nobsa,15,Boyaca,3769,Boyaca (ETC),3830.0,71.88,92.82,81.29,89.94,81.6,60.11,77.44,56.81,73.01,84.26,84.37,28.55,20.0,1.53,2.56,1.71,0.91,2.29,92.06,97.44,94.44,87.81,94.57,6.4,0.0,3.85,11.28,3.14,0.44,0.0,0.11,0.91,0.29
3626,2014,15494,Nuevo Colon,15,Boyaca,3769,Boyaca (ETC),1506.0,70.05,92.63,91.36,94.56,87.11,62.5,75.63,65.32,75.63,76.23,79.67,20.39,15.38,1.6,1.28,0.85,2.96,0.69,94.08,98.72,96.59,90.05,93.79,4.32,0.0,2.56,6.99,5.52,0.47,0.0,0.0,1.34,0.0
3627,2014,15500,Oicata,15,Boyaca,3769,Boyaca (ETC),713.0,63.67,92.46,62.86,82.41,81.82,67.9,68.86,61.4,67.46,73.03,67.5,20.56,28.57,3.26,2.6525,2.51,4.55,3.7,88.39,100.0,91.96,82.39,87.65,8.35,0.0,5.53,13.07,8.64,0.2,0.0,0.5,0.0,0.0
3628,2014,15507,Otanche,15,Boyaca,3769,Boyaca (ETC),2908.0,55.26,88.1,76.79,87.41,69.98,49.06,62.72,46.67,66.06,65.55,56.45,27.61,9.76,2.08,1.79,1.5,2.48,3.41,97.92,98.21,98.5,97.52,96.59,0.0,0.0,0.0,0.0,0.0,1.07,0.0,1.87,0.35,0.49
3629,2014,15511,Pachavita,15,Boyaca,3769,Boyaca (ETC),506.0,76.28,92.12,89.47,91.46,72.19,54.84,82.81,88.37,90.87,89.35,41.33,18.33,9.09,1.52,0.9266666666666667,0.5,3.76,5.336666666666666,94.92,100.0,93.97,93.98,100.0,3.55,0.0,5.53,2.26,0.0,5.58,0.0,4.02,10.53,0.0
3630,2014,15514,Paez,15,Boyaca,3769,Boyaca (ETC),753.0,75.56,88.91,86.49,88.28,69.4,60.87,84.99,60.66,82.58,91.34,89.84,23.88,13.04,1.01,3.0025,0.39,1.49,1.96,96.48,100.0,94.92,97.03,98.04,2.51,0.0,4.69,1.49,0.0,0.34,0.0,0.0,0.5,0.98
3631,2014,15516,Paipa,15,Boyaca,3769,Boyaca (ETC),6812.0,100.18,90.83,77.68,88.67,78.14,53.87,110.26,89.79,110.62,118.86,101.45,24.2,32.56,2.06,0.85,1.03,3.29,2.05,87.61,98.86,92.69,80.53,88.07,10.33,0.28,6.28,16.18,9.88,1.26,0.0,0.72,2.25,0.6
3632,2014,15518,Pajarito,15,Boyaca,3769,Boyaca (ETC),349.0,128.94,87.21,75.76,82.9,65.38,53.66,147.85,126.92,139.86,171.9,128.13,22.93,27.27,5.13,3.03,5.85,6.15,1.47,94.66,96.97,93.62,93.85,98.53,0.21,0.0,0.53,0.0,0.0,3.85,0.0,3.19,6.7,0.0
3634,2014,15531,Pauna,15,Boyaca,3769,Boyaca (ETC),2656.0,65.25,91.55,82.24,85.18,75.71,53.53,71.27,48.42,69.22,83.16,63.59,23.41,7.5,2.28,6.54,1.68,2.44,1.87,90.36,93.46,93.3,86.82,89.72,7.35,0.0,5.03,10.74,8.41,0.06,0.0,0.13,0.0,0.0
3635,2014,15533,Paya,15,Boyaca,3769,Boyaca (ETC),501.0,108.18,91.09,87.1,70.93,67.14,52.31,118.76,68.89,143.78,127.27,72.22,16.67,13.33,2.13,2.7114285714285713,1.75,2.65,3.45,92.9,100.0,92.98,91.01,94.83,4.97,0.0,5.26,6.35,1.72,2.13,0.0,2.81,2.12,0.0
3636,2014,15537,Paz de Rio,15,Boyaca,3769,Boyaca (ETC),1094.0,76.42,81.4,78.57,88.47,59.16,47.49,93.88,83.33,77.8,114.02,96.24,22.23,15.38,0.78,2.13,0.4,0.58,1.56,98.31,97.87,99.19,98.84,95.31,0.91,0.0,0.4,0.58,3.13,0.0,0.0,0.0,0.0,0.0
3637,2014,15542,Pesca,15,Boyaca,3769,Boyaca (ETC),1786.0,74.41,90.65,78.13,87.88,76.86,48.02,82.08,87.07,85.9,80.53,72.4,26.7,20.83,0.78,2.1425,0.77,0.86,1.23,98.01,100.0,97.85,97.43,98.77,1.21,0.0,1.38,1.71,0.0,0.0,0.0,0.0,0.0,0.0
3638,2014,15550,Pisba,15,Boyaca,3769,Boyaca (ETC),293.0,117.06,82.65,66.67,76.12,61.06,22.54,141.64,103.45,157.03,128.41,147.92,16.25,16.67,4.57,13.33,1.0,10.87,2.04,88.17,83.33,90.05,82.61,93.88,7.26,3.33,8.96,6.52,4.08,0.54,0.0,0.0,0.0,4.08
3639,2014,15572,Puerto Boyaca,15,Boyaca,3769,Boyaca (ETC),13142.0,89.25,87.7,80.92,80.73,65.85,46.16,101.66,92.74,110.45,105.41,74.69,30.68,24.53,4.3,4.54,3.67,5.27,3.72,91.57,95.46,92.73,89.28,91.12,4.12,0.0,3.6,5.45,5.16,1.17,0.0,1.07,1.61,0.96
3640,2014,15580,Quipama,15,Boyaca,3769,Boyaca (ETC),1755.0,64.67,91.53,86.0,82.29,75.05,52.78,70.66,38.17,74.05,78.86,60.0,21.5,10.71,0.69,4.0,0.38,0.44,1.49,96.99,96.0,97.71,96.03,97.76,2.32,0.0,1.9,3.53,0.75,1.38,0.0,1.52,1.1,2.24
3641,2014,15599,Ramiriqui,15,Boyaca,3769,Boyaca (ETC),2481.0,88.11,91.46,73.55,85.64,76.71,56.91,96.29,78.68,96.87,103.42,88.7,27.57,33.33,2.07,2.29,0.48,3.54,2.37,89.06,97.71,92.99,84.49,86.94,8.88,0.0,6.53,11.97,10.68,2.11,0.0,2.14,2.32,2.37
3642,2014,15600,Raquira,15,Boyaca,3769,Boyaca (ETC),4121.0,29.56,95.01,92.79,88.92,84.49,63.58,31.11,34.91,38.43,25.26,22.91,25.9,15.79,0.8,3.6,0.3,0.86,0.78,89.19,96.4,91.5,82.57,89.15,10.01,0.0,8.19,16.57,10.08,1.36,0.0,1.82,1.43,0.0
3643,2014,15621,Rondon,15,Boyaca,3769,Boyaca (ETC),621.0,79.39,88.67,65.0,92.06,72.37,51.35,89.53,83.33,88.43,106.05,63.79,22.88,31.25,2.66,2.5,0.93,5.31,3.3622222222222224,95.63,97.5,98.13,91.3,100.0,1.71,0.0,0.93,3.38,0.0,4.37,0.0,2.8,8.21,0.0
3644,2014,15632,Saboya,15,Boyaca,3769,Boyaca (ETC),2935.0,89.68,91.54,77.22,89.8,76.21,56.4,97.92,74.69,95.93,108.5,92.9,22.0,31.25,1.5,1.23,0.44,2.72,1.59,93.23,97.53,96.06,89.63,92.33,5.27,1.23,3.51,7.65,6.08,0.71,0.0,0.96,0.5,0.79
3645,2014,15638,Sachica,15,Boyaca,3769,Boyaca (ETC),992.0,85.28,90.19,84.93,89.92,71.6,59.23,94.56,89.02,94.52,101.5,82.8,22.53,66.67,0.26,1.5200000000000002,0.29,0.37,1.9366666666666665,95.43,100.0,96.8,91.11,100.0,4.31,0.0,2.91,8.52,0.0,0.0,0.0,0.0,0.0,0.0
3646,2014,15646,Samaca,15,Boyaca,3769,Boyaca (ETC),5176.0,82.15,93.24,72.77,90.46,80.27,64.1,87.96,95.18,95.3,84.54,71.2,25.03,12.5,1.32,0.28,0.92,1.87,2.12,95.35,99.72,97.07,91.98,94.48,3.34,0.0,2.01,6.15,3.4,0.1,0.0,0.16,0.08,0.0
3648,2014,15664,San Jose de Pare,15,Boyaca,3769,Boyaca (ETC),1161.0,67.27,82.38,75.34,85.25,69.6,31.67,81.65,74.49,73.49,85.68,99.45,25.53,18.18,4.26,2.74,3.28,5.84,4.4,90.01,97.26,96.72,80.76,86.81,5.72,0.0,0.0,13.4,8.79,0.24,0.0,0.0,0.34,1.1
3649,2014,15667,San Luis de Gaceno,15,Boyaca,3769,Boyaca (ETC),1185.0,93.42,89.13,85.0,88.31,71.4,51.08,104.81,84.21,109.11,108.44,96.37,18.36,8.57,1.59,4.35,1.17,2.04,0.65,98.05,95.65,98.05,97.96,99.35,0.35,0.0,0.78,0.0,0.0,1.24,1.45,1.17,1.78,0.0
3650,2014,15673,San Mateo,15,Boyaca,3769,Boyaca (ETC),858.0,81.59,84.75,75.93,87.41,74.06,42.53,96.27,84.38,81.52,107.74,111.54,25.17,16.0,1.48,1.85,1.08,1.95,0.97,93.14,98.15,93.53,91.56,94.17,5.38,0.0,5.4,6.49,4.85,0.67,0.0,1.08,0.65,0.0
3651,2014,15676,San Miguel de Sema,15,Boyaca,3769,Boyaca (ETC),1057.0,64.33,89.24,82.69,89.72,74.81,50.39,72.09,59.09,71.81,74.22,75.15,19.63,54.55,0.95,1.92,0.62,0.79,1.75,95.67,98.08,97.51,93.25,94.74,3.38,0.0,1.87,5.95,3.51,1.49,0.0,1.25,2.38,0.88
3652,2014,15681,San Pablo de Borbur,15,Boyaca,3769,Boyaca (ETC),2464.0,63.64,90.69,89.69,85.77,72.39,49.05,70.17,47.09,68.55,79.13,67.78,25.74,11.43,2.23,4.12,1.12,2.84,3.45,92.94,95.88,97.21,87.79,91.63,4.83,0.0,1.67,9.36,4.93,0.68,1.03,0.7,0.84,0.0
3653,2014,15686,Santana,15,Boyaca,3769,Boyaca (ETC),1848.0,92.21,92.45,75.18,84.83,77.69,65.7,99.68,88.39,102.03,106.63,84.32,25.98,10.0,0.41,0.82,0.39,0.49,2.2733333333333334,99.06,99.18,98.43,99.51,100.0,0.53,0.0,1.18,0.0,0.0,3.54,0.0,5.9,2.44,0.0
3655,2014,15693,Santa Rosa de Viterbo,15,Boyaca,3769,Boyaca (ETC),2425.0,82.93,85.07,75.95,88.84,68.49,46.88,97.48,88.27,105.54,107.62,73.5,22.86,35.29,2.21,3.03,2.02,2.85,0.77,88.17,94.7,93.81,80.21,88.12,9.61,2.27,4.17,16.94,11.11,1.57,0.0,2.53,1.2,0.38
3657,2014,15720,Sativanorte,15,Boyaca,3769,Boyaca (ETC),512.0,67.97,89.69,73.91,78.65,82.17,46.55,75.78,60.53,87.68,72.88,61.7,20.83,13.33,1.59,2.945,1.12,2.33,2.13,98.41,100.0,98.88,97.67,97.87,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.56,0.78,0.0
3659,2014,15740,Siachoque,15,Boyaca,3769,Boyaca (ETC),2220.0,81.85,93.8,90.98,91.1,79.55,60.61,87.25,63.21,83.56,103.01,77.42,26.29,46.67,1.53,0.89,1.02,2.09,1.83,92.35,99.11,95.01,89.01,90.37,6.12,0.0,3.96,8.9,7.8,1.47,0.0,1.28,1.81,1.83
3660,2014,15753,Soata,15,Boyaca,3769,Boyaca (ETC),1488.0,113.44,90.66,85.37,88.55,81.57,56.45,125.13,106.03,112.93,138.07,137.4,30.04,11.11,1.44,0.81,2.03,0.86,1.73,93.29,99.19,95.51,90.43,92.39,5.27,0.0,2.46,8.71,5.88,0.5,0.0,0.58,0.0,1.73
3661,2014,15755,Socota,15,Boyaca,3769,Boyaca (ETC),1729.0,90.28,88.09,84.17,84.55,68.62,44.74,102.49,104.51,117.76,100.34,72.38,27.28,13.51,0.81,0.9677777777777776,0.25,1.19,3.31,99.13,100.0,99.75,98.81,96.03,0.06,0.0,0.0,0.0,0.66,1.06,0.72,0.74,1.59,1.32
3663,2014,15759,Sogamoso,15,Boyaca,3772,Sogamoso,23982.0,106.79,86.7,66.33,86.43,70.38,54.9,122.97,108.46,116.74,134.9,120.07,27.36,93.1,1.7,1.99,1.11,2.31,1.69,95.69,97.23,97.29,93.67,95.63,2.61,0.78,1.61,4.02,2.68,2.95,1.35,2.33,4.31,1.91
3664,2014,15761,Somondoco,15,Boyaca,3769,Boyaca (ETC),693.0,78.07,84.01,82.76,92.27,79.47,52.05,92.93,54.72,65.34,108.68,141.32,22.15,18.18,1.39,3.45,1.1,2.06,2.4111111111111114,96.53,96.55,97.79,94.24,99.19,2.08,0.0,1.1,3.7,0.81,0.0,0.0,0.0,0.0,0.0
3665,2014,15762,Sora,15,Boyaca,3769,Boyaca (ETC),761.0,88.04,92.67,78.26,87.12,82.2,60.87,95.01,68.66,99.39,95.16,97.46,25.42,11.11,0.72,0.8066666666666666,0.61,0.44,2.08,99.28,100.0,99.39,99.56,97.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3666,2014,15763,Sotaquira,15,Boyaca,3769,Boyaca (ETC),2074.0,70.68,88.47,66.37,83.76,74.73,46.84,79.89,63.48,82.96,81.45,76.95,29.32,30.0,0.96,2.65,0.94,0.75,0.57,98.98,97.35,98.93,99.25,99.43,0.06,0.0,0.13,0.0,0.0,0.45,0.0,0.27,0.93,0.0
3667,2014,15764,Soraca,15,Boyaca,3769,Boyaca (ETC),1321.0,115.14,93.66,78.5,85.15,74.39,64.25,122.94,98.17,127.85,138.65,90.19,32.22,36.36,2.11,1.87,0.71,3.79,2.33,97.64,98.13,99.29,95.52,97.67,0.26,0.0,0.0,0.69,0.0,0.83,0.0,1.7,0.17,0.0
3668,2014,15774,Susacon,15,Boyaca,3769,Boyaca (ETC),724.0,60.77,93.02,93.75,89.44,74.37,59.68,65.33,58.18,62.72,79.6,46.97,29.0,14.29,1.69,3.13,0.56,2.51,1.61,98.31,96.88,99.44,97.49,98.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3669,2014,15776,Sutamarchan,15,Boyaca,3769,Boyaca (ETC),1322.0,79.8,91.98,91.86,92.81,78.62,59.49,86.76,84.31,82.71,92.53,85.9,29.48,20.0,1.93,2.33,0.67,2.82,2.96,94.13,97.67,97.98,88.72,94.67,3.94,0.0,1.35,8.46,2.37,0.46,0.0,0.22,1.03,0.0
3670,2014,15778,Sutatenza,15,Boyaca,3769,Boyaca (ETC),772.0,75.26,87.24,86.96,89.24,69.85,56.07,86.27,76.67,80.97,98.13,79.26,25.07,25.0,1.68,1.675,1.22,2.71,1.19,96.15,100.0,98.78,93.67,92.86,2.18,0.0,0.0,3.62,5.95,0.17,0.0,0.0,0.45,0.0
3671,2014,15790,Tasco,15,Boyaca,3769,Boyaca (ETC),1488.0,80.31,78.77,69.3,88.41,59.63,41.77,101.95,88.37,83.64,123.11,118.57,28.64,31.58,2.43,1.75,1.45,3.6,3.05,92.07,98.25,93.84,88.96,90.24,5.49,0.0,4.71,7.43,6.71,0.63,0.0,0.36,1.35,0.0
