,AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
19,2011,5091,Betania,5,Antioquia,3758,Antioquia (ETC),2345.0,89.85,89.9,58.6,96.4,59.0,17.4,98.8,73.2,129.7,95.2,41.4,30.56,96.3,2.65,4.473333333333333,3.17,2.76,5.296666666666667,97.35,100.0,96.83,97.24,100.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.72,0.17,0.0
20,2011,5093,Betulia,5,Antioquia,3758,Antioquia (ETC),4260.0,95.45,95.5,78.6,103.0,64.4,21.7,105.2,87.5,133.2,100.2,52.5,26.89,87.8,5.0,2.86,6.15,4.1,1.05,84.05,96.51,82.74,82.09,89.2,10.95,0.63,11.11,13.81,9.76,0.08,0.0,0.12,0.0,0.0
21,2011,5101,Ciudad Bolivar,5,Antioquia,3758,Antioquia (ETC),6651.0,88.24,88.2,70.0,94.5,64.3,32.5,94.0,81.6,117.5,88.0,53.6,20.75,97.06,5.97,6.68,5.2,7.8,3.87,93.87,93.32,94.77,92.2,94.5,0.15,0.0,0.03,0.0,1.63,4.13,0.0,5.24,3.54,2.77
22,2011,5107,Briceño,5,Antioquia,3758,Antioquia (ETC),2256.0,94.1,94.1,74.5,99.6,49.1,12.3,106.9,118.6,143.2,100.4,28.6,16.28,83.33,9.79,6.016666666666667,10.59,7.28,2.63,89.71,82.96,88.51,92.72,97.37,0.5,0.0,0.9,0.0,0.0,0.91,0.0,1.28,0.67,0.0
23,2011,5113,Buritica,5,Antioquia,3758,Antioquia (ETC),1686.0,98.81,98.8,70.0,105.8,56.7,20.6,107.9,99.3,147.1,93.0,42.3,21.03,62.07,4.58,0.72,2.8,9.75,1.74,88.74,99.28,91.3,80.5,90.43,6.68,0.0,5.9,9.75,7.83,2.31,0.0,2.71,2.63,0.0
24,2011,5120,Caceres,5,Antioquia,3758,Antioquia (ETC),9919.0,84.97,85.0,73.0,91.1,52.0,14.1,91.1,86.1,123.0,78.6,27.1,26.59,48.89,2.34,2.33,2.2,2.61,2.48,97.64,97.67,97.8,97.39,97.03,0.02,0.0,0.0,0.0,0.5,1.24,0.0,1.03,2.31,0.0
26,2011,5129,Caldas,5,Antioquia,3758,Antioquia (ETC),14566.0,88.0,87.9,72.2,82.6,84.0,53.5,96.4,79.6,96.7,108.7,80.8,28.05,65.52,3.21,2.54,2.49,4.49,2.18,87.96,97.19,90.18,83.01,90.52,8.83,0.27,7.33,12.51,7.3,2.93,0.13,2.05,4.53,2.52
27,2011,5134,Campamento,5,Antioquia,3758,Antioquia (ETC),2288.0,97.9,97.9,46.8,117.8,41.1,15.5,102.8,73.9,178.7,58.0,27.2,19.59,86.67,4.18,3.031428571428571,2.9,10.74,1.87,94.54,100.0,96.19,86.58,95.33,1.28,0.0,0.91,2.68,2.8,0.37,0.0,0.18,1.82,0.0
28,2011,5138,Cañasgordas,5,Antioquia,3758,Antioquia (ETC),4520.0,82.81,82.8,62.6,80.4,65.8,30.5,92.8,72.3,108.1,97.9,56.9,20.85,48.48,2.6,1.92,2.24,2.38,5.6,96.28,98.08,96.05,96.98,93.64,1.11,0.0,1.71,0.63,0.76,1.72,0.0,1.71,2.49,0.29
29,2011,5142,Caracoli,5,Antioquia,3758,Antioquia (ETC),1134.0,84.04,84.0,59.3,83.9,59.1,39.8,97.8,74.7,108.6,98.5,82.1,22.1,87.5,1.1,2.94,1.02,1.36,2.2585714285714285,98.81,97.06,98.78,98.64,100.0,0.09,0.0,0.2,0.0,0.0,2.01,0.0,1.63,4.27,0.0
30,2011,5145,Caramanta,5,Antioquia,3758,Antioquia (ETC),1156.0,86.07,86.1,67.0,90.4,65.8,44.6,96.4,80.6,109.8,95.2,72.0,18.2,95.24,4.53,6.02,3.72,6.02,2.99,95.47,93.98,96.28,93.98,97.01,0.0,0.0,0.0,0.0,0.0,4.85,0.0,2.79,10.62,3.39
31,2011,5147,Carepa,5,Antioquia,3758,Antioquia (ETC),14165.0,84.38,84.4,68.1,89.5,61.5,22.5,97.5,90.8,123.0,91.7,48.1,28.86,65.79,2.32,1.69,1.69,3.45,2.93,95.25,98.21,96.27,93.68,90.59,2.43,0.1,2.04,2.87,6.48,0.52,0.1,0.74,0.3,0.25
